DATETIME,TEMPERATURE
21/05/2010 6:00,9.2
17/06/2010 6:30,7.8
5/08/2010 13:00,16.8
20/12/2010 4:00,12.4
10/05/2011 6:30,9
10/03/2016 19:00,24.7
10/03/2016 20:00,24.3
10/03/2016 21:00,24
10/03/2016 22:00,24.4
10/03/2016 23:00,23.2
11/03/2016 0:00,23.8
11/03/2016 1:00,23.3
11/03/2016 2:00,23.2
11/03/2016 3:00,22.9
11/03/2016 4:00,23.3
11/03/2016 5:00,24.5
11/03/2016 6:00,24
11/03/2016 7:00,23.7
11/03/2016 8:00,24.1
11/03/2016 9:00,24.2
11/03/2016 10:00,24.9
11/03/2016 11:00,25.2
15/07/2016 17:00,14.6
15/07/2016 18:00,12.5
15/07/2016 19:00,8.3
15/07/2016 20:00,7.6
15/07/2016 21:00,6.5
15/07/2016 22:00,6.2
15/07/2016 23:00,6.4
16/07/2016 0:00,6.8
16/07/2016 1:00,5.5
16/07/2016 2:00,5.9
16/07/2016 3:00,5
16/07/2016 4:00,5.4
16/07/2016 5:00,5
16/07/2016 6:00,5.1
16/07/2016 7:00,5.1
16/07/2016 8:00,6.5
16/07/2016 9:00,8.8
16/07/2016 10:00,11.5
16/07/2016 11:00,14.2
16/07/2016 12:00,16.6
16/07/2016 13:00,17.9
16/07/2016 14:00,17.6
16/07/2016 15:00,17.5
16/07/2016 16:00,16.7
16/07/2016 17:00,16.2
16/07/2016 18:00,13.9
16/07/2016 19:00,14
16/07/2016 20:00,13.6
16/07/2016 21:00,13.1
16/07/2016 22:00,13.3
16/07/2016 23:00,13.1
17/07/2016 0:00,13.2
17/07/2016 1:00,13.1
17/07/2016 2:00,12.3
17/07/2016 3:00,11.9
17/07/2016 4:00,11.8
17/07/2016 5:00,11.9
17/07/2016 6:00,12.3
17/07/2016 7:00,12.3
17/07/2016 8:00,12.6
17/07/2016 9:00,13.3
17/07/2016 10:00,13.7
17/07/2016 11:00,14.9
17/07/2016 12:00,16.5
17/07/2016 13:00,18.4
17/07/2016 14:00,18.7
17/07/2016 15:00,19.6
17/07/2016 16:00,18.9
17/07/2016 17:00,18.4
17/07/2016 18:00,17.4
17/07/2016 19:00,16.1
17/07/2016 20:00,15.3
17/07/2016 21:00,12.1
17/07/2016 22:00,10.7
17/07/2016 23:00,9.1
18/07/2016 0:00,9.1
18/07/2016 1:00,8.5
18/07/2016 2:00,8.2
18/07/2016 3:00,9.7
18/07/2016 4:00,10
18/07/2016 5:00,10.8
18/07/2016 6:00,10.7
18/07/2016 7:00,10.5
18/07/2016 8:00,10
18/07/2016 9:00,9.3
18/07/2016 10:00,10.4
18/07/2016 11:00,14.9
18/07/2016 12:00,17.9
18/07/2016 13:00,20.4
18/07/2016 14:00,23.4
18/07/2016 15:00,24
18/07/2016 16:00,23.3
18/07/2016 17:00,21.8
18/07/2016 18:00,19.4
18/07/2016 19:00,17.7
18/07/2016 20:00,15.3
18/07/2016 21:00,13.8
18/07/2016 22:00,12.6
18/07/2016 23:00,12.1
19/07/2016 0:00,12.5
19/07/2016 1:00,12.3
19/07/2016 2:00,11.7
19/07/2016 3:00,12.4
19/07/2016 4:00,12.3
19/07/2016 5:00,11.9
19/07/2016 6:00,12.1
19/07/2016 7:00,11.7
19/07/2016 8:00,12.2
19/07/2016 9:00,14
19/07/2016 10:00,18.6
30/08/2016 11:00,16.3
20/04/2017 14:00,23.6
23/03/2018 3:00,19.2
23/03/2018 4:00,18
15/04/2018 10:00,21.8
15/04/2018 11:00,22
15/04/2018 12:00,22.2
21/05/2018 13:30,20.8
